client_id,login_date
CLI00001,2025-07-23 12:25:51.617646
CLI00001,2025-07-24 12:25:51.617646
CLI00001,2025-07-28 12:25:51.617646
CLI00001,2025-07-30 12:25:51.617646
CLI00001,2025-08-04 12:25:51.617646
CLI00001,2025-08-07 12:25:51.617646
CLI00001,2025-08-09 12:25:51.617646
CLI00001,2025-08-13 12:25:51.617646
CLI00001,2025-08-15 12:25:51.617646
CLI00001,2025-08-17 12:25:51.617646
CLI00001,2025-08-18 12:25:51.617646
CLI00001,2025-08-20 12:25:51.617646
CLI00001,2025-08-25 12:25:51.617646
CLI00001,2025-08-26 12:25:51.617646
CLI00001,2025-08-27 12:25:51.617646
CLI00001,2025-08-28 12:25:51.617646
CLI00001,2025-08-29 12:25:51.617646
CLI00001,2025-09-01 12:25:51.617646
CLI00001,2025-09-06 12:25:51.617646
CLI00001,2025-09-07 12:25:51.617646
CLI00001,2025-09-08 12:25:51.617646
CLI00001,2025-09-09 12:25:51.617646
CLI00001,2025-09-12 12:25:51.617646
CLI00001,2025-09-13 12:25:51.617646
CLI00001,2025-09-15 12:25:51.617646
CLI00001,2025-09-16 12:25:51.617646
CLI00001,2025-09-18 12:25:51.617646
CLI00001,2025-09-19 12:25:51.617646
CLI00001,2025-09-20 12:25:51.617646
CLI00001,2025-09-23 12:25:51.617646
CLI00001,2025-09-24 12:25:51.617646
CLI00001,2025-09-25 12:25:51.617646
CLI00001,2025-09-28 12:25:51.617646
CLI00001,2025-09-30 12:25:51.617646
CLI00001,2025-10-01 12:25:51.617646
CLI00001,2025-10-02 12:25:51.617646
CLI00001,2025-10-03 12:25:51.617646
CLI00001,2025-10-04 12:25:51.617646
CLI00001,2025-10-05 12:25:51.617646
CLI00001,2025-10-06 12:25:51.617646
CLI00001,2025-10-08 12:25:51.617646
CLI00001,2025-10-11 12:25:51.617646
CLI00001,2025-10-12 12:25:51.617646
CLI00001,2025-10-13 12:25:51.617646
CLI00001,2025-10-14 12:25:51.617646
CLI00001,2025-10-15 12:25:51.617646
CLI00001,2025-10-18 12:25:51.617646
CLI00001,2025-10-20 12:25:51.617646
CLI00001,2025-10-24 12:25:51.617646
CLI00001,2025-10-25 12:25:51.617646
CLI00001,2025-10-27 12:25:51.617646
CLI00001,2025-10-29 12:25:51.617646
CLI00001,2025-10-30 12:25:51.617646
CLI00001,2025-10-31 12:25:51.617646
CLI00001,2025-11-01 12:25:51.617646
CLI00001,2025-11-03 12:25:51.617646
CLI00001,2025-11-04 12:25:51.617646
CLI00001,2025-11-05 12:25:51.617646
CLI00001,2025-11-06 12:25:51.617646
CLI00001,2025-11-07 12:25:51.617646
CLI00001,2025-11-08 12:25:51.617646
CLI00001,2025-11-10 12:25:51.617646
CLI00001,2025-11-11 12:25:51.617646
CLI00001,2025-11-12 12:25:51.617646
CLI00001,2025-11-13 12:25:51.617646
CLI00001,2025-11-15 12:25:51.617646
CLI00001,2025-11-16 12:25:51.617646
CLI00001,2025-11-18 12:25:51.617646
CLI00001,2025-11-19 12:25:51.617646
CLI00001,2025-11-23 12:25:51.617646
CLI00001,2025-11-24 12:25:51.617646
CLI00001,2025-11-25 12:25:51.617646
CLI00001,2025-11-26 12:25:51.617646
CLI00001,2025-11-28 12:25:51.617646
CLI00001,2025-12-01 12:25:51.617646
CLI00001,2025-12-02 12:25:51.617646
CLI00001,2025-12-04 12:25:51.617646
CLI00001,2025-12-06 12:25:51.617646
CLI00001,2025-12-07 12:25:51.617646
CLI00001,2025-12-10 12:25:51.617646
CLI00001,2025-12-12 12:25:51.617646
CLI00001,2025-12-15 12:25:51.617646
CLI00001,2025-12-16 12:25:51.617646
CLI00001,2025-12-18 12:25:51.617646
CLI00001,2025-12-20 12:25:51.617646
CLI00001,2025-12-24 12:25:51.617646
